"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Axita Cotton Limited","347772501","145801626","    41.92","201970875","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","7869037","347772501","2.26",,"23-Oct-2025 16:30:54"
"Azad Engineering Limited","64581743","35789905","    55.42","28791838","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","2441026","64581743","3.78",,"23-Oct-2025 16:30:54"
"B. L. Kashyap and Sons Limited","225440000","139106778","    61.70","86333222","138233158","    99.37","    61.32",,"23-Oct-2025 16:30:34","146023710","225434106","64.77",,"23-Oct-2025 16:30:34"
"B.A.G Films and Media Limited","197918090","92748182","    46.86","105169908","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","1466465","197469191","0.74",,"23-Oct-2025 16:30:30"
"BASF India Limited","43285640","31743220","    73.33","11542420","0","     0.00","     0.00",,"23-Oct-2025 16:30:06","1446313","43123534","3.35",,"23-Oct-2025 16:30:06"
"BEML Limited","41644500","22500000","    54.03","19144500","0","     0.00","     0.00",,"23-Oct-2025 16:30:10","2137386","41578759","5.14",,"23-Oct-2025 16:30:10"
"BF Investment Limited","37667628","27922726","    74.13","9744902","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","378786","37201395","1.02",,"23-Oct-2025 16:30:45"
"BF Utilities Limited","37667628","21366765","    56.72","16300863","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","2515916","37229401","6.76",,"23-Oct-2025 16:30:39"
"BGR Energy Systems Limited","72161560","36806824","    51.01","35354736","21652892","    58.83","    30.01",,"23-Oct-2025 16:30:41","22486727","72161558","31.16",,"23-Oct-2025 16:30:41"
"BIL VYAPAR LIMITED","31366175","16084089","    51.28","15282086","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","264146","29970487","0.88",,"23-Oct-2025 16:30:36"
"BIRLASOFT LIMITED","278542944","112925785","    40.54","165617159","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","15587607","278371944","5.6",,"23-Oct-2025 16:30:26"
"BLB Limited","52865258","21673443","    41.00","31191815","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","388669","52803730","0.74",,"23-Oct-2025 16:30:27"
"BLS International Services Limited","411740908","289870376","    70.40","121870532","10160","     0.00","     0.00",,"23-Oct-2025 16:30:50","19245467","411738628","4.67",,"23-Oct-2025 16:30:50"
"BSL Limited","10292168","5837322","    56.72","4454846","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","496896","10121866","4.91",,"23-Oct-2025 16:30:13"
"Bafna Pharmaceuticals Limited","23656335","17742251","    75.00","5914084","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","178137","23649295","0.75",,"23-Oct-2025 16:30:53"
"Bajaj Auto Limited","279257608","153743663","    55.05","125513945","13822","     0.01","     0.00",,"23-Oct-2025 16:30:42","2681599","278496146","0.96",,"23-Oct-2025 16:30:42"
"Bajaj Consumer Care Limited","137052803","56125000","    40.95","80927803","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","8037787","130618000","6.15",,"23-Oct-2025 16:30:44"
"Bajaj Electricals Limited","115370139","72342279","    62.70","43027860","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","768318","115115699","0.67",,"23-Oct-2025 16:30:40"
"Bajaj Finance Limited","6222481865","3408822352","    54.78","2813659513","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","55252030","6222481860","0.89",,"23-Oct-2025 16:30:22"
"Bajaj Finserv Limited","1597813220","940796988","    58.88","657016232","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","17419581","1593741290","1.09",,"23-Oct-2025 16:30:42"
"Bajaj Hindusthan Sugar Limited","1277359942","320523422","    25.09","956836520","318743422","    99.44","    24.95",,"23-Oct-2025 16:30:12","455303855","1276605521","35.67",,"23-Oct-2025 16:30:12"
"Bajaj Holdings & Investment Limited","111293510","57273575","    51.46","54019935","334","     0.00","     0.00",,"23-Oct-2025 16:30:07","1318913","110901139","1.19",,"23-Oct-2025 16:30:07"
"Bajel Projects Limited","115658560","72342279","    62.55","43316281","1843556","     2.55","     1.59",,"23-Oct-2025 16:30:54","1619554","115658560","1.4",,"23-Oct-2025 16:30:54"
"Bal Pharma Limited","15920872","8097182","    50.86","7823690","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","147776","15821936","0.93",,"23-Oct-2025 16:30:35"
"Balaji Amines Limited","32401000","17686601","    54.59","14714399","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","1586664","32318500","4.91",,"23-Oct-2025 16:30:38"
"Balaji Telefilms Limited","119588744","38149576","    31.90","81439168","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","1695994","119585993","1.42",,"23-Oct-2025 16:30:28"
"Balkrishna Industries Limited","193317190","112690200","    58.29","80626990","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","1260580","193055155","0.65",,"23-Oct-2025 16:30:12"
"Ballarpur Industries Limited","55000000","28050000","    51.00","26950000","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","0","0","0",,"23-Oct-2025 16:30:41"
"Balmer Lawrie & Company Limited","171003846","0","     0.00","171003846","0",,"     0.00",,"23-Oct-2025 16:30:10","7577314","169642823","4.47",,"23-Oct-2025 16:30:10"
"Balrampur Chini Mills Limited","201943958","86545753","    42.86","115398205","0","     0.00","     0.00",,"23-Oct-2025 16:30:11","4893679","201568620","2.43",,"23-Oct-2025 16:30:11"
"Banaras Beads Limited","6636222","3858375","    58.14","2777847","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","20365","6469267","0.31",,"23-Oct-2025 16:30:18"
"Banco Products (I) Limited","143037300","97099984","    67.88","45937316","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","2836691","142584680","1.99",,"23-Oct-2025 16:30:17"
"Bang Overseas Limited","13560000","9202909","    67.87","4357091","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","561450","13438137","4.18",,"23-Oct-2025 16:30:41"
"Bank Of Baroda","5171362179","3308184689","    63.97","1863177490","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","42457450","5148748568","0.82",,"23-Oct-2025 16:30:24"
"Bank Of India","4552667866","3340861720","    73.38","1211806146","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","54477721","4539994112","1.2",,"23-Oct-2025 16:30:24"
"Bank of Maharashtra","7691554950","6122628058","    79.60","1568926892","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","123106239","7685691074","1.6",,"23-Oct-2025 16:30:30"
"Bannari Amman Spinning Mills Limited","79921375","39602346","    49.55","40319029","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","1944771","79921373","2.43",,"23-Oct-2025 16:30:33"
"Bannari Amman Sugars Limited","12539700","7360276","    58.70","5179424","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","313643","12391677","2.53",,"23-Oct-2025 16:30:13"
"Banswara Syntex Limited","34232084","18550786","    54.19","15681298","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","938599","34050116","2.76",,"23-Oct-2025 16:30:38"
"Barak Valley Cements Limited","22160000","11992058","    54.12","10167942","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","148545","21537999","0.69",,"23-Oct-2025 16:30:40"
"Bata India Limited","128527540","64465514","    50.16","64062026","0","     0.00","     0.00",,"23-Oct-2025 16:30:09","1588991","128070562","1.24",,"23-Oct-2025 16:30:09"
"Bcl Industries Limited","295163340","171290930","    58.03","123872410","7536340","     4.40","     2.55",,"23-Oct-2025 16:30:53","19718323","293039140","6.73",,"23-Oct-2025 16:30:53"
"Beardsell Limited","39437000","20785086","    52.70","18651914","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","290528","38447834","0.76",,"23-Oct-2025 16:30:43"
"Bedmutha Industries Limited","32263884","18405196","    57.05","13858688","17496105","    95.06","    54.23",,"23-Oct-2025 16:30:45","18827194","32247884","58.38",,"23-Oct-2025 16:30:45"
"Berger Paints (I) Limited","1165894779","874229436","    74.98","291665343","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","3362495","1162634331","0.29",,"23-Oct-2025 16:30:13"
"Bhagyanagar India Limited","31995000","22576788","    70.56","9418212","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","191464","31900593","0.6",,"23-Oct-2025 16:30:51"
"Bhansali Engineering Polymers Limited","248858460","143024997","    57.47","105833463","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","18088371","246870250","7.33",,"23-Oct-2025 16:30:18"
"Bharat Bijlee Limited","11303120","3803998","    33.65","7499122","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","828396","11231432","7.38",,"23-Oct-2025 16:30:16"
"Bharat Electronics Limited","7309778829","3737921934","    51.14","3571856895","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","101741305","7309273566","1.39",,"23-Oct-2025 16:30:22"
"Bharat Forge Limited","478088632","210703624","    44.07","267385008","0","     0.00","     0.00",,"23-Oct-2025 16:30:06","5416896","465514709","1.16",,"23-Oct-2025 16:30:06"
"Bharat Gears Limited","15355058","8494410","    55.32","6860648","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","297179","15266754","1.95",,"23-Oct-2025 16:30:22"
"Bharat Heavy Electricals Limited","3482063355","2199650402","    63.17","1282412953","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","63542645","3481513568","1.83",,"23-Oct-2025 16:30:22"
"Bharat Petroleum Corporation Limited","4338505488","2298367184","    52.98","2040138304","0","     0.00","     0.00",,"23-Oct-2025 16:30:06","29491670","4317750965","0.68",,"23-Oct-2025 16:30:06"
"Bharat Rasayan Limited","4155268","3116060","    74.99","1039208","0","     0.00","     0.00",,"23-Oct-2025 16:30:14","61053","4115395","1.48",,"23-Oct-2025 16:30:14"
"Bharat Road Network Limited","83950000","43625339","    51.97","40324661","9999400","    22.92","    11.91",,"23-Oct-2025 16:30:51","24544991","83950000","29.24",,"23-Oct-2025 16:30:51"
"Bharat Wire Ropes Limited","68584648","28305060","    41.27","40279588","14435581","    51.00","    21.05",,"23-Oct-2025 16:30:50","23908263","68584648","34.86",,"23-Oct-2025 16:30:50"
"Bharati Defence and Infrastructure Limited","50298942","20412281","    40.58","29886661","20412281","   100.00","    40.58",,"23-Oct-2025 16:30:32","20674860","50297161","41.11",,"23-Oct-2025 16:30:32"
"Bharatiya Global Infomedia Limited","15843110","7677604","    48.46","8165506","4959335","    64.59","    31.30",,"23-Oct-2025 16:30:46","199661","15131360","1.32",,"23-Oct-2025 16:30:46"
"Bharti Airtel Limited","6094392981","3066942763","    50.32","3027450218","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","32081670","5702104338","0.56",,"23-Oct-2025 16:30:29"
"Bhartiya International Limited","13410411","8202649","    61.17","5207762","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","908387","13375951","6.79",,"23-Oct-2025 16:30:27"
"Bigbloc Construction Limited","141575750","103087725","    72.81","38488025","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","1079528","141526250","0.76",,"23-Oct-2025 16:30:50"
"Bil Energy Systems Limited","211416000","98931240","    46.79","112484760","64299720","    64.99","    30.41",,"23-Oct-2025 16:30:45","65174884","210631140","30.94",,"23-Oct-2025 16:30:45"
"Biocon Limited","1336963635","729911817","    54.59","607051818","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","25298108","1336506793","1.89",,"23-Oct-2025 16:30:30"
"Biofil Chemicals & Pharmaceuticals Limited","16273800","7614760","    46.79","8659040","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","116831","15427100","0.76",,"23-Oct-2025 16:30:23"
"Birla Cable Limited","30000000","19905743","    66.35","10094257","1250000","     6.28","     4.17",,"23-Oct-2025 16:30:11","1797512","29490551","6.1",,"23-Oct-2025 16:30:11"
"Birla Corporation Limited","77005347","48434191","    62.90","28571156","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","1677840","76827537","2.18",,"23-Oct-2025 16:30:22"
"BirlaNu Limited","7540899","3059212","    40.57","4481687","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","204602","7511197","2.72",,"23-Oct-2025 16:30:19"
"Bkm Industries Limited","65534050","24602535","    37.54","40931515","2300000","     9.35","     3.51",,"23-Oct-2025 16:30:49","3254073","65532948","4.97",,"23-Oct-2025 16:30:49"
"Black Box Limited","170044485","119441430","    70.24","50603055","0","     0.00","     0.00",,"23-Oct-2025 16:30:11","6091788","168857340","3.61",,"23-Oct-2025 16:30:11"
"Bliss GVS Pharma Limited","105649472","37387174","    35.39","68262298","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","4145248","104309220","3.97",,"23-Oct-2025 16:30:44"
"Blue Blends (I) Limited","21651213","11509470","    53.16","10141743","11480000","    99.74","    53.02",,"23-Oct-2025 16:30:19","11523996","19633082","58.7",,"23-Oct-2025 16:30:19"
"Blue Chip India Limited","55304340","6220270","    11.25","49084070","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","155508","54979608","0.28",,"23-Oct-2025 16:30:24"
"Blue Coast Hotels Limited","17192457","12270495","    71.37","4921962","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","13627","17120202","0.08",,"23-Oct-2025 16:30:27"
"Blue Dart Express Limited","23727934","17795950","    75.00","5931984","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","233843","23700329","0.99",,"23-Oct-2025 16:30:13"
"Blue Star Limited","205614788","75049843","    36.50","130564945","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","1770637","204937332","0.86",,"23-Oct-2025 16:30:27"
"BlueStone Jewellery and Lifestyle Limited","151320372","24761977","    16.36","126558395","9215127","    37.21","     6.09",,"23-Oct-2025 16:30:55","10865780","148239717","7.33",,"23-Oct-2025 16:30:55"
"Bodal Chemicals Limited","125944065","71785973","    57.00","54158092","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","4906399","125628010","3.91",,"23-Oct-2025 16:30:46"
"Bodhi Tree Multimedia Limited","180497777","44096739","    24.43","136401038","24636228","    55.87","    13.65",,"23-Oct-2025 16:30:53","47588539","180497777","26.37",,"23-Oct-2025 16:30:53"
"Bohra Industries Limited","21172152","2671385","    12.62","18500767","1611500","    60.32","     7.61",,"23-Oct-2025 16:30:54","1845747","21172152","8.72",,"23-Oct-2025 16:30:54"
"Bombay Burmah Trading Corporation Limited","69771900","51663045","    74.05","18108855","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","1078286","69223275","1.56",,"23-Oct-2025 16:30:18"
"Bombay Dyeing & Mfg Company Limited","206534900","110653268","    53.58","95881632","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","23410098","205412682","11.4",,"23-Oct-2025 16:30:19"
"Bombay Rayon Fashions Limited","317476479","81082396","    25.54","236394083","30868329","    38.07","     9.72",,"23-Oct-2025 16:30:33","32318486","317472172","10.18",,"23-Oct-2025 16:30:33"
"Bosch Limited","29493640","20805224","    70.54","8688416","0","     0.00","     0.00",,"23-Oct-2025 16:30:09","135872","29436927","0.46",,"23-Oct-2025 16:30:09"
"Bpl Limited","48975751","30916792","    63.13","18058959","24611544","    79.61","    50.25",,"23-Oct-2025 16:30:19","948678","48470226","1.96",,"23-Oct-2025 16:30:19"
"Brand Concepts Limited","12421877","6504100","    52.36","5917777","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","60956","12481877","0.49",,"23-Oct-2025 16:30:52"
"Brigade Enterprises Limited","244483040","100542777","    41.12","143940263","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","1329537","244482873","0.54",,"23-Oct-2025 16:30:41"
"Brightcom Group Limited","2018521873","370993848","    18.38","1647528025","4023332","     1.08","     0.20",,"23-Oct-2025 16:30:49","47891215","2016323323","2.38",,"23-Oct-2025 16:30:49"
"Britannia Industries Limited","240868296","121752892","    50.55","119115404","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","1642385","239716804","0.69",,"23-Oct-2025 16:30:16"
"Brooks Laboratories Limited","29457248","15500292","    52.62","13956956","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","1079433","29455548","3.66",,"23-Oct-2025 16:30:46"
"Burnpur Cement Limited","17224873","340229","     1.98","16884644","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","170","137271","0.12",,"23-Oct-2025 16:30:41"
"Butterfly Gandhimathi Appliances Limited","17879551","13409663","    75.00","4469888","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","273871","17684271","1.55",,"23-Oct-2025 16:30:48"
"C & C Constructions Limited","25445265","8233087","    32.36","17212178","6203698","    75.35","    24.38",,"23-Oct-2025 16:30:38","6397235","25431197","25.16",,"23-Oct-2025 16:30:38"
"CARE Ratings Limited","29994980","0","     0.00","29994980","0",,"     0.00",,"23-Oct-2025 16:30:47","1465843","29994016","4.89",,"23-Oct-2025 16:30:47"
"CCL Products (India) Limited","133527920","61902169","    46.36","71625751","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","1822762","132931107","1.37",,"23-Oct-2025 16:30:31"
"CEAT Limited","40450092","19155398","    47.36","21294694","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","639551","40214495","1.59",,"23-Oct-2025 16:30:41"
"CESC Limited","1325570430","690770560","    52.11","634799870","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","24940749","1318709750","1.89",,"23-Oct-2025 16:30:22"
"CG Power and Industrial Solutions Limited","1574719809","887650111","    56.37","687069698","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","34230948","1572765153","2.18",,"23-Oct-2025 16:30:21"
